version,modification_time,release_number,release_type,image_name,release_date
15.0.1.4-0.0.2,2020-07-09T08:40:56Z,15.0.1.4,Point,BIGIP-15.0.1.4-0.0.2,07/16/2020
15.1.0-0.0.31,2019-11-21T13:11:35Z,15.1.0,Minor / LTS,BIGIP-15.1.0-0.0.31,12/11/2019
15.1.0.1-0.0.4,2020-01-10T20:31:32Z,15.1.0.1,Point,BIGIP-15.1.0.1-0.0.4,01/22/2020
15.1.0.2-0.0.9,2020-03-21T03:01:17Z,15.1.0.2,Point,BIGIP-15.1.0.2-0.0.9,03/26/2020
15.1.0.3-0.0.12,2020-04-29T04:58:35Z,15.1.0.3,Point,BIGIP-15.1.0.3-0.0.12,05/05/2020
15.1.0.4-0.0.6,2020-06-19T03:01:43Z,15.1.0.4,Point,BIGIP-15.1.0.4-0.0.6,06/23/2020
15.1.0.5-0.0.8,2020-08-24T07:59:28Z,15.1.0.5,Point,BIGIP-15.1.0.5-0.0.8,08/25/2020
15.1.1-0.0.6,2020-10-08T09:34:44Z,15.1.1,Maintenance,BIGIP-15.1.1-0.0.6,10/15/2020
15.1.2-0.0.9,2020-11-11T03:48:55Z,15.1.2,Maintenance,BIGIP-15.1.2-0.0.9,11/18/2020
15.1.2.1-0.0.10,2021-01-15T21:11:42Z,15.1.2.1,Point,BIGIP-15.1.2.1-0.0.10,01/21/2021
15.1.3-0.0.11,2021-04-08T08:19:20Z,15.1.3,Maintenance,BIGIP-15.1.3-0.0.11,04/22/2021
15.1.3.1-0.0.18,2021-07-13T06:21:10Z,15.1.3.1,Point,BIGIP-15.1.3.1-0.0.18,07/19/2021
15.1.4-0.0.47,2021-08-18T23:29:49Z,15.1.4,Maintenance,BIGIP-15.1.4-0.0.47,09/22/2021
15.1.4.1-0.0.15,2021-11-05T01:13:34Z,15.1.4.1,Point,BIGIP-15.1.4.1-0.0.15,11/17/2021
15.1.5-0.0.10,2021-12-10T21:36:54Z,15.1.5,Maintenance,BIGIP-15.1.5-0.0.10,12/23/2021
15.1.5.1-0.0.14,2022-03-28T06:04:20Z,15.1.5.1,Point,BIGIP-15.1.5.1-0.0.14,04/06/2022
16.0.0-0.0.12,2020-06-24T01:02:04Z,16.0.0,Major,BIGIP-16.0.0-0.0.12,07/07/2020
16.0.0.1-0.0.3,2020-08-28T18:38:08Z,16.0.0.1,Point,BIGIP-16.0.0.1-0.0.3,09/15/2020
16.0.1-0.0.3,2020-10-20T19:51:22Z,,,,
16.0.1.1-0.0.6,2021-01-29T09:13:47Z,16.0.1.1,Maintenance,BIGIP-16.0.1.1-0.0.6,02/10/2021
16.0.1.2-0.0.8,2021-07-07T18:59:05Z,16.0.1.2,Point,BIGIP-16.0.1.2-0.0.8,07/21/2021
16.1.0-0.0.19,2021-06-23T06:32:32Z,16.1.0,Minor / LTS,BIGIP-16.1.0-0.0.19,07/07/2021
16.1.1-0.0.16,2021-09-17T22:34:21Z,16.1.1,Maintenance,BIGIP-16.1.1-0.0.16,10/26/2021
16.1.2-0.0.18,2021-10-23T21:06:13Z,16.1.2,Maintenance,BIGIP-16.1.2-0.0.18,11/02/2021
16.1.2.1-0.0.10,2021-12-23T01:22:37Z,16.1.2.1,Point,BIGIP-16.1.2.1-0.0.10,01/11/2022
16.1.2.2-0.0.28,2022-04-07T20:27:36Z,16.1.2.2,Point,BIGIP-16.1.2.2-0.0.28,04/19/2022
17.0.0-0.0.22,2022-04-13T07:45:50Z,17.0.0,Major,BIGIP-17.0.0-0.0.22,04/26/2022
